id_str;day;anonymized_text
1262455734912065537;2020-05-18;@mention Elle m’inquiète un peu elle a du mal à respirer.
1282716199755948034;2020-07-13;@mention Peut-être l'art subtil de la transition, qui se trouverait diminué par cette atteinte. Mais je crois que dans le fond, ça ne fait plus sens: le fait que les élèves n'entendent plus la consigne qu'on leur donne en serait un symptôme. Le bon sens leur impose une structure apparente
1267205317559046144;2020-05-31;@mention On devait avoir la fièvre (37,2°) quand on a écrit ce lapsus !
1276581354130595841;2020-06-26;J’crois j’ai corona wesh je commence à avoir mal à la gorge
1281565718065164288;2020-07-10;incroyable dans un laboratoire la secretaire s est permis d enlever un prélèvement à un patient concernant covid, le patient n a rien dit, elle s'est substitué au docteur . qu avez vous eu comme symptôme ,le patient explique.elle dit vous allez mieux,il dit oui alors elle retire
1278899420159979520;2020-07-03;Aujourd'hui l'actrice #LouiseAllbritton aurait eu 100 ans, on a pu la voir dans les films suivants :  La Fièvre de l'Or Noir Hollywood Parade That Night with You Tanger An Innocent Affair L'Oeuf et moi Bonne à Tout Faire Felicia  @mention @mention @mention [url]
1283333994118029313;2020-07-15;"@mention @mention @mention @mention J'ai rempli une fiche médicale et sur 10 symptômes, j'en avais 9 (tout sauf la fièvre). J'ai été dirigée vers l'étage ""Soupçon de #COVID19"". J'ai eu du Doliprane. Je suis restée chez moi avec mon respirateur contre l'apnée du sommeil. J'ai été suivie par l'appli #Covidom."
1280508036096892930;2020-07-07;c'est le symptome d'une société qui se stratifie dangereusement [url]
1273302845836705794;2020-06-17;J’ai la haine wshh j’ai de la fièvre c’est pas possible j’suis un poissard
1281286946745126913;2020-07-09;Certains diront que j'inquiète, que je me répète. Mais mon message est clair : le virus circule toujours. Alors que vous soyez en vacances, au travail, dans les transports... Protégez-vous, protégez ceux qui vous entourent. Et faites-vous dépister dès les premiers symptômes ! [url]
1270618687465238528;2020-06-10;@mention Ben non,  Lui c'est le symptôme, La maladie c'est autre chose : l'idéologie raciste🤮🤮🤮  #ViolencesPolicieres
1277315367745081346;2020-06-28;@mention @mention Alors si tu veux le détail, pour moi, avoir de la fièvre c’est 37.5 lol J’suis a 36.1 en général lol J’aime bien dire lol.  Lol.
1269868196347236354;2020-06-08;C'est sûr qu'en prescrivant la #chloroquine à des patients jeunes, en bonne santé, avec peu de symptômes, on peut claironner ensuite l'efficacité imparable de la molécule :) [url]
1264985666796085250;2020-05-25;Débat surréaliste entre ceux qui refusent d’admettre que certains policiers déshonorent leur uniformes, et ceux qui en déduisent que la France est une sorte de dictature tropicale ou d’Alabama des années 50... Symptôme d’une société + myope et fracturée que jamais #CameliaJordana [url]
1268286605762101254;2020-06-03;@mention @mention Il n'a pas les symptômes du mégalo pervers narcissique....? 🤔
1282607362545778691;2020-07-13;@mention Oui c'est vrai. Mais il a encore de la toux et le nez bouché 😕. Ça va passer avec le temps 😉
1235833965161795586;2020-03-06;J’ai toussé dans le rer, on m’a regardé archi mal. On a pas le droit d’avoir de la toux, détends vous ça vous a ravagés le coronavirus là
1275679051366248451;2020-06-24;L'arrière des Lakers Avery Bradley, dont le fils de 6 ans a des antécédents de difficultés respiratoires, ne disputera pas la fin de saison en NBA ► [url] [url]
1279764987481862144;2020-07-05;Parfois je sens que mon coeur est lourd genre j’ai du mal à respirer, jsp comment expliquer. Et c’est ce qu’il se passe en ce moment.. Il va me lécher à tout moment alors que j’ai un enfant qui a besoin dmoi
1268474751204438017;2020-06-04;@mention @mention Certains parlent malheureusement mais sinon certains toussent et éternuent...
1267030870734635009;2020-05-31;@mention @mention @mention @mention @mention @mention On a tous les symptômes du pays en crise qui cherche un coupable à sa situation et quoi de plus facile que de désigner celui qui est différent plutôt que les puissants qui t'ont mis là dedans depuis des décennies
1285139451342184449;2020-07-20;"@mention Ça me rappelle une vieille blague du gars qui aborde en soirée un médecin pour décrire ses symptômes en parlant ""d'un ami"".  À la fin il lui demande ""que lui conseillerez vous ?"" La réponse ""d'aller voir un médecin """
1264308683934183443;2020-05-23;@mention @mention Ce qui est fou c’est que les gens qui avaient des symptômes étaient renvoyés chez eux avec du Doliprane alors que le Pr Raoult les testait et les traitait avec son protocole pour éviter l’aggravation du Covid-19. Ceci n’expliquerait il pas ses bons résultats ?
1271051234053623809;2020-06-11;@mention Ooooh merde. Bon. Tu l’as chopé récemment (donc hors de danger) ou bien tu as des symptômes ?
1282812020874776577;2020-07-13;Quand t’as une baisse de foi c’est fou comment t’es vide, plus de goût à rien flm de tout krmn
