;date;cas_confirmes;cas_ehpad;cas_confirmes_ehpad;cas_possibles_ehpad;deces;deces_ehpad;reanimation;hospitalises;nouvelles_hospitalisations;nouvelles_reanimations;gueris;depistes;deaths_freq;deaths_3;deaths_week
0;2020-01-24;2.0;;;;;;;2.0;;;;;;;
1;2020-01-25;2.0;;;;;;;2.0;;;;;;;
2;2020-01-26;2.0;;;;;;;2.0;;;;;;;
3;2020-01-27;2.0;;;;;;;2.0;;;;;;;
4;2020-01-28;3.0;;;;;;;3.0;;;;;;;
5;2020-01-29;4.0;;;;;;;4.0;;;;;;;
6;2020-01-30;5.0;;;;;;;5.0;;;;;;;
7;2020-01-31;5.0;;;;;;;5.0;;;;;;;
8;2020-02-03;5.0;;;;;;;5.0;;;;;;;
9;2020-02-05;5.0;;;;;;;5.0;;;;;;;
10;2020-02-06;5.0;;;;;;;5.0;;;;;;;
11;2020-02-07;5.0;;;;;;;5.0;;;;;;;
12;2020-02-08;5.0;;;;;;;5.0;;;;;;;
13;2020-02-10;5.0;;;;;;;5.0;;;;;;;
14;2020-02-11;5.0;;;;;;;5.0;;;;;;;
15;2020-02-12;5.0;;;;;;;5.0;;;;;;;
16;2020-02-20;5.0;;;;;;;4.0;;;;;;;
17;2020-02-28;9.0;;;;;;;;;;;;;;
18;2020-03-02;34.0;;;;;;;;;;;;;;
19;2020-03-03;37.0;;;;;;;;;;;;;;
20;2020-03-04;55.0;;;;;;;;;;;;;;
21;2020-03-05;76.5;;;;;;;;;;;;;;
22;2020-03-06;110.0;;;;1.0;;;;;;;;;;
23;2020-03-07;132.5;;;;1.0;;;;;;;;0.0;;
24;2020-03-08;226.0;;;;1.0;;;;;;;;0.0;;
25;2020-03-09;283.0;;;;1.0;;;;;;;;0.0;0.0;
26;2020-03-10;308.5;;;;4.0;;;;;;;;3.0;1.0;
27;2020-03-11;502.0;;;;4.0;;;;;;;;0.0;1.0;
28;2020-03-12;591.0;;;;4.0;;;;;;;;0.0;1.0;
29;2020-03-13;798.5;;;;;;;;;;;;;;
30;2020-03-14;1094.5;;;;;;155.0;;;;;;;;
31;2020-03-15;1209.0;;;;;;;;;;;;;;
32;2020-03-16;1762.0;;;;;;;;;;;;;;
33;2020-03-17;2177.0;;;;;;;;;;;;;;
34;2020-03-18;2693.0;;;;36.0;;294.0;957.0;;;129.0;;;;
35;2020-03-19;3384.0;;;;56.0;;360.0;1356.0;706.0;150.0;213.0;;20.0;;
36;2020-03-20;3818.0;;;;99.0;;484.0;1785.0;458.0;89.0;350.0;;43.0;;
37;2020-03-21;4695.0;;;;122.0;;545.0;2087.0;549.0;104.0;438.0;;23.0;28.666666666666668;
38;2020-03-22;5283.0;;;;140.0;;640.0;2485.0;589.0;125.0;513.0;;18.0;28.0;
39;2020-03-23;6211.0;;;;193.0;;787.0;3142.0;688.0;155.0;665.0;;53.0;31.333333333333332;
40;2020-03-24;6798.0;;;;262.0;;973.0;3683.0;859.0;236.0;854.0;;69.0;46.666666666666664;
41;2020-03-25;7660.0;;;;357.0;;1114.0;4389.0;1073.0;219.0;1084.0;;95.0;72.33333333333333;45.857142857142854
42;2020-03-26;;;;;460.0;;1269.0;5132.0;1092.0;221.0;1310.0;;103.0;89.0;57.714285714285715
43;2020-03-27;;;;;578.0;;1389.0;5793.0;1123.0;194.0;1598.0;;118.0;105.33333333333333;68.42857142857143
44;2020-03-28;;;;;688.0;;1570.0;6523.0;1217.0;242.0;1937.0;;110.0;110.33333333333333;80.85714285714286
45;2020-03-29;;;;;807.0;;1668.0;7092.0;887.0;158.0;2109.0;;119.0;115.66666666666667;95.28571428571429
