,day,covid,confinement,RestezChezVous,has_symptom
0,2019-12-02,0.0,4.0,0.0,5.0
1,2019-12-03,0.0,1.0,1.0,6.0
2,2019-12-04,0.0,3.0,3.0,5.0
3,2019-12-05,0.0,1.0,1.0,5.0
4,2019-12-06,0.0,1.0,1.0,5.0
5,2019-12-07,0.0,4.0,1.0,6.0
6,2019-12-08,0.0,2.0,4.0,6.0
7,2019-12-09,0.0,2.0,3.0,6.0
8,2019-12-10,0.0,4.0,0.0,4.0
9,2019-12-11,0.0,2.0,3.0,12.0
10,2019-12-12,1.0,4.0,3.0,3.0
11,2019-12-13,0.0,2.0,2.0,6.0
12,2019-12-14,0.0,0.0,3.0,5.0
13,2019-12-15,0.0,1.0,1.0,0.0
14,2019-12-16,0.0,6.0,1.0,9.0
15,2019-12-17,1.0,2.0,1.0,7.0
16,2019-12-18,0.0,1.0,1.0,6.0
17,2019-12-19,0.0,2.0,1.0,4.0
18,2019-12-20,0.0,3.0,0.0,7.0
19,2019-12-21,0.0,2.0,1.0,7.0
20,2019-12-22,0.0,1.0,0.0,3.0
21,2019-12-23,0.0,7.0,0.0,2.0
22,2019-12-24,0.0,0.0,1.0,4.0
23,2019-12-25,0.0,2.0,1.0,3.0
24,2019-12-26,0.0,4.0,2.0,2.0
25,2019-12-27,0.0,3.0,0.0,9.0
26,2019-12-28,0.0,2.0,3.0,13.0
27,2019-12-29,0.0,0.0,0.0,3.0
28,2019-12-30,0.0,1.0,2.0,8.0
29,2019-12-31,0.0,4.0,1.0,11.0
30,2020-01-01,0.0,1.0,0.0,10.0
31,2020-01-02,0.0,2.0,0.0,10.0
32,2020-01-03,0.0,0.0,1.0,12.0
33,2020-01-04,2.0,4.0,2.0,7.0
34,2020-01-05,1.0,2.0,0.0,4.0
35,2020-01-06,0.0,3.0,3.0,4.0
36,2020-01-07,0.0,1.0,1.0,9.0
37,2020-01-08,0.0,1.0,1.0,10.0
38,2020-01-09,2.0,3.0,0.0,3.0
39,2020-01-10,2.0,1.0,0.0,10.0
40,2020-01-11,0.0,2.0,1.0,5.0
41,2020-01-12,0.0,1.0,0.0,5.0
42,2020-01-13,0.0,0.0,1.0,6.0
43,2020-01-14,0.0,5.0,1.0,7.0
44,2020-01-15,1.0,3.0,0.0,9.0
45,2020-01-16,0.0,2.0,1.0,8.0
46,2020-01-17,0.0,1.0,0.0,3.0
47,2020-01-18,2.0,5.0,0.0,8.0
48,2020-01-19,2.0,1.0,1.0,3.0
49,2020-01-20,5.0,2.0,0.0,3.0
50,2020-01-21,20.0,2.0,0.0,20.0
51,2020-01-22,49.0,1.0,2.0,9.0
52,2020-01-23,59.0,14.0,0.0,21.0
53,2020-01-24,117.0,25.0,1.0,43.0
54,2020-01-25,243.0,30.0,1.0,64.0
55,2020-01-26,138.0,14.0,0.0,34.0
56,2020-01-27,137.0,9.0,0.0,23.0
57,2020-01-28,125.0,16.0,0.0,20.0
58,2020-01-29,119.0,12.0,0.0,23.0
59,2020-01-30,158.0,12.0,0.0,16.0
60,2020-01-31,138.0,12.0,0.0,11.0
61,2020-02-01,61.0,7.0,1.0,12.0
62,2020-02-02,86.0,9.0,1.0,14.0
63,2020-02-03,89.0,13.0,0.0,21.0
64,2020-02-04,112.0,7.0,0.0,11.0
65,2020-02-05,89.0,8.0,0.0,9.0
66,2020-02-06,81.0,2.0,1.0,19.0
67,2020-02-07,96.0,7.0,0.0,13.0
68,2020-02-08,96.0,11.0,1.0,13.0
69,2020-02-09,61.0,5.0,1.0,9.0
70,2020-02-10,93.0,13.0,1.0,19.0
71,2020-02-11,65.0,5.0,0.0,19.0
72,2020-02-12,102.0,7.0,0.0,19.0
73,2020-02-13,83.0,10.0,0.0,17.0
74,2020-02-14,45.0,8.0,1.0,7.0
75,2020-02-15,45.0,2.0,0.0,5.0
76,2020-02-16,96.0,5.0,0.0,12.0
77,2020-02-17,60.0,3.0,1.0,5.0
78,2020-02-18,99.0,6.0,2.0,12.0
79,2020-02-19,32.0,5.0,0.0,13.0
80,2020-02-20,33.0,8.0,2.0,12.0
81,2020-02-21,45.0,6.0,0.0,9.0
82,2020-02-22,46.0,6.0,1.0,13.0
83,2020-02-23,153.0,25.0,1.0,12.0
84,2020-02-24,273.0,45.0,0.0,28.0
85,2020-02-25,356.0,46.0,2.0,36.0
86,2020-02-26,534.0,48.0,1.0,27.0
87,2020-02-27,528.0,36.0,3.0,27.0
88,2020-02-28,564.0,66.0,4.0,61.0
89,2020-02-29,586.0,83.0,2.0,39.0
90,2020-03-01,524.0,86.0,2.0,32.0
91,2020-03-02,850.0,76.0,2.0,69.0
92,2020-03-03,852.0,62.0,4.0,69.0
93,2020-03-04,743.0,54.0,6.0,65.0
94,2020-03-05,722.0,61.0,2.0,47.0
95,2020-03-06,744.0,57.0,1.0,58.0
96,2020-03-07,520.0,42.0,1.0,27.0
97,2020-03-08,533.0,74.0,0.0,26.0
98,2020-03-09,1037.0,113.0,1.0,80.0
99,2020-03-10,1092.0,120.0,8.0,83.0
100,2020-03-11,1141.0,146.0,3.0,72.0
101,2020-03-12,2642.0,311.0,15.0,118.0
102,2020-03-13,2573.0,462.0,18.0,153.0
103,2020-03-14,2694.0,818.0,167.0,160.0
104,2020-03-15,2989.0,1829.0,319.0,159.0
105,2020-03-16,3668.0,3864.0,345.0,199.0
106,2020-03-17,3520.0,4044.0,449.0,203.0
107,2020-03-18,3255.0,3901.0,612.0,138.0
108,2020-03-19,3128.0,3918.0,962.0,163.0
109,2020-03-20,2944.0,3825.0,660.0,130.0
110,2020-03-21,2490.0,3361.0,515.0,130.0
111,2020-03-22,2277.0,3028.0,401.0,155.0
112,2020-03-23,2511.0,2897.0,402.0,130.0
113,2020-03-24,2613.0,2752.0,406.0,98.0
114,2020-03-25,2635.0,2822.0,374.0,100.0
115,2020-03-26,2416.0,2565.0,325.0,76.0
116,2020-03-27,2638.0,2810.0,403.0,112.0
117,2020-03-28,2017.0,2645.0,312.0,101.0
118,2020-03-29,1898.0,2361.0,234.0,86.0
119,2020-03-30,2152.0,2457.0,306.0,80.0
120,2020-03-31,2331.0,2410.0,278.0,88.0
121,2020-04-01,2140.0,2559.0,313.0,74.0
122,2020-04-02,2280.0,2381.0,211.0,88.0
123,2020-04-03,2286.0,2601.0,249.0,56.0
124,2020-04-04,1716.0,2254.0,270.0,56.0
125,2020-04-05,1613.0,2470.0,394.0,42.0
126,2020-04-06,1983.0,2351.0,325.0,64.0
127,2020-04-07,2101.0,2420.0,282.0,57.0
128,2020-04-08,1975.0,2688.0,274.0,47.0
129,2020-04-09,1935.0,2354.0,266.0,49.0
130,2020-04-10,1842.0,2357.0,259.0,47.0
131,2020-04-11,1441.0,2167.0,219.0,54.0
132,2020-04-12,1351.0,2175.0,226.0,70.0
133,2020-04-13,1797.0,3321.0,243.0,95.0
134,2020-04-14,1814.0,2471.0,198.0,55.0
135,2020-04-15,1730.0,2020.0,159.0,35.0
136,2020-04-16,1762.0,2056.0,156.0,37.0
137,2020-04-17,1825.0,1871.0,165.0,38.0
138,2020-04-18,1365.0,2033.0,167.0,56.0
139,2020-04-19,1364.0,2104.0,128.0,48.0
140,2020-04-20,1470.0,1981.0,146.0,29.0
141,2020-04-21,1511.0,2027.0,128.0,58.0
142,2020-04-22,1638.0,1981.0,142.0,40.0
143,2020-04-23,1677.0,1981.0,128.0,45.0
144,2020-04-24,1602.0,1724.0,118.0,36.0
145,2020-04-25,1232.0,1638.0,93.0,36.0
146,2020-04-26,1199.0,1758.0,106.0,28.0
147,2020-04-27,1496.0,1981.0,124.0,42.0
148,2020-04-28,1708.0,2994.0,136.0,37.0
149,2020-04-29,1465.0,1990.0,98.0,35.0
150,2020-04-30,1528.0,1951.0,99.0,32.0
151,2020-05-01,1174.0,1676.0,114.0,25.0
152,2020-05-02,994.0,1510.0,105.0,33.0
153,2020-05-03,975.0,1580.0,90.0,31.0
154,2020-05-04,1305.0,1880.0,94.0,25.0
155,2020-05-05,1398.0,1810.0,80.0,39.0
156,2020-05-06,1364.0,1785.0,97.0,37.0
157,2020-05-07,1373.0,2206.0,76.0,27.0
158,2020-05-08,994.0,1641.0,68.0,25.0
159,2020-05-09,989.0,1609.0,52.0,39.0
160,2020-05-10,1033.0,2421.0,60.0,39.0
161,2020-05-11,1200.0,3338.0,46.0,50.0
162,2020-05-12,1227.0,1662.0,17.0,37.0
163,2020-05-13,1090.0,1211.0,11.0,30.0
164,2020-05-14,1082.0,1029.0,15.0,31.0
165,2020-05-15,1014.0,1057.0,6.0,21.0
166,2020-05-16,686.0,761.0,13.0,33.0
167,2020-05-17,544.0,685.0,9.0,18.0
168,2020-05-18,974.0,893.0,6.0,23.0
169,2020-05-19,1121.0,847.0,7.0,50.0
170,2020-05-20,1244.0,1031.0,5.0,34.0
171,2020-05-21,1251.0,986.0,20.0,28.0
172,2020-05-22,1293.0,999.0,8.0,51.0
173,2020-05-23,1086.0,785.0,16.0,43.0
174,2020-05-24,873.0,775.0,9.0,33.0
175,2020-05-25,1183.0,911.0,1.0,61.0
176,2020-05-26,1486.0,858.0,8.0,46.0
177,2020-05-27,1564.0,926.0,2.0,26.0
178,2020-05-28,1651.0,1667.0,8.0,78.0
179,2020-05-29,1145.0,1076.0,12.0,22.0
180,2020-05-30,865.0,764.0,5.0,50.0
181,2020-05-31,767.0,728.0,6.0,47.0
182,2020-06-01,857.0,669.0,10.0,21.0
183,2020-06-02,1211.0,853.0,14.0,20.0
184,2020-06-03,1208.0,683.0,6.0,34.0
185,2020-06-04,988.0,709.0,0.0,40.0
186,2020-06-05,1024.0,661.0,2.0,43.0
187,2020-06-06,644.0,496.0,10.0,25.0
188,2020-06-07,658.0,412.0,3.0,41.0
189,2020-06-08,820.0,673.0,3.0,37.0
190,2020-06-09,962.0,654.0,7.0,38.0
191,2020-06-10,973.0,706.0,4.0,36.0
192,2020-06-11,848.0,486.0,1.0,21.0
193,2020-06-12,347.0,291.0,3.0,4.0
194,2020-06-13,260.0,208.0,3.0,20.0
195,2020-06-14,291.0,268.0,4.0,12.0
196,2020-06-15,379.0,281.0,4.0,12.0
197,2020-06-16,452.0,291.0,5.0,20.0
198,2020-06-17,456.0,268.0,2.0,21.0
199,2020-06-18,381.0,256.0,3.0,23.0
200,2020-06-19,383.0,248.0,3.0,13.0
201,2020-06-20,266.0,181.0,3.0,9.0
202,2020-06-21,323.0,255.0,3.0,14.0
203,2020-06-22,430.0,292.0,4.0,20.0
204,2020-06-23,403.0,231.0,3.0,14.0
205,2020-06-24,387.0,253.0,5.0,20.0
206,2020-06-25,341.0,184.0,0.0,19.0
207,2020-06-26,272.0,174.0,0.0,15.0
208,2020-06-27,185.0,111.0,2.0,9.0
209,2020-06-28,205.0,113.0,3.0,8.0
210,2020-06-29,241.0,130.0,1.0,8.0
211,2020-06-30,328.0,153.0,2.0,13.0
212,2020-07-01,256.0,134.0,0.0,10.0
213,2020-07-02,295.0,122.0,0.0,16.0
214,2020-07-03,223.0,171.0,1.0,8.0
215,2020-07-04,161.0,118.0,0.0,9.0
216,2020-07-05,195.0,121.0,0.0,11.0
217,2020-07-06,232.0,120.0,0.0,18.0
218,2020-07-07,350.0,147.0,1.0,11.0
219,2020-07-08,344.0,123.0,1.0,26.0
220,2020-07-09,338.0,137.0,1.0,23.0
221,2020-07-10,297.0,143.0,0.0,27.0
222,2020-07-11,256.0,77.0,0.0,15.0
223,2020-07-12,284.0,115.0,2.0,14.0
224,2020-07-13,336.0,154.0,2.0,18.0
225,2020-07-14,390.0,129.0,2.0,17.0
226,2020-07-15,307.0,142.0,2.0,20.0
227,2020-07-16,313.0,110.0,0.0,16.0
228,2020-07-17,328.0,157.0,1.0,24.0
229,2020-07-18,252.0,121.0,7.0,18.0
230,2020-07-19,190.0,112.0,4.0,12.0
231,2020-07-20,372.0,155.0,1.0,20.0
232,2020-07-21,366.0,119.0,1.0,20.0
233,2020-07-22,317.0,121.0,1.0,25.0
234,2020-07-23,107.0,39.0,0.0,9.0
