;day;covid;confinement;RestezChezVous;cough;sore_throat;fever;loss_taste;skin_symptom;symptoms;breathing_difficulties;has_symptom;has_symptom_mean_week;has_symptom_mean_3
0;2019-12-02;0;0;0;1;1;0;1;0;1;0;4;;
1;2019-12-03;0;0;0;1;1;2;0;0;5;0;9;;
2;2019-12-04;0;1;0;1;0;2;0;0;2;0;5;;6.0
3;2019-12-05;0;0;0;1;0;2;0;0;2;0;5;;6.333333333333333
4;2019-12-06;0;0;0;1;1;2;0;0;1;1;5;;5.0
5;2019-12-07;0;0;0;3;0;1;0;0;1;0;5;;5.0
6;2019-12-08;0;0;0;2;2;2;0;0;1;0;7;5.714285714285714;5.666666666666667
7;2019-12-09;0;0;0;3;0;1;0;0;2;0;6;6.0;6.0
8;2019-12-10;0;1;0;2;0;3;0;0;0;0;5;5.428571428571429;6.0
9;2019-12-11;0;0;0;1;1;3;3;0;4;1;13;6.571428571428571;8.0
10;2019-12-12;0;0;0;1;0;1;0;0;1;0;3;6.285714285714286;7.0
11;2019-12-13;0;0;0;1;0;3;0;0;1;0;5;6.285714285714286;7.0
12;2019-12-14;0;0;0;0;1;2;0;0;2;0;5;6.285714285714286;4.333333333333333
13;2019-12-15;0;0;0;1;0;0;0;0;0;0;1;5.428571428571429;3.6666666666666665
14;2019-12-16;0;0;0;0;1;3;1;0;3;1;9;5.857142857142857;5.0
15;2019-12-17;0;0;0;3;1;2;0;0;1;0;7;6.142857142857143;5.666666666666667
16;2019-12-18;0;0;0;0;1;2;0;0;3;0;5;5.0;7.0
17;2019-12-19;0;0;0;3;1;1;0;0;1;0;5;5.285714285714286;5.666666666666667
18;2019-12-20;0;0;0;3;0;2;0;0;1;0;6;5.428571428571429;5.333333333333333
19;2019-12-21;0;0;0;0;3;2;0;0;2;1;8;5.857142857142857;6.333333333333333
20;2019-12-22;0;0;0;1;0;1;0;0;2;0;4;6.285714285714286;6.0
21;2019-12-23;0;0;0;0;1;0;0;0;1;0;2;5.285714285714286;4.666666666666667
22;2019-12-24;0;0;0;2;0;2;0;0;0;0;4;4.857142857142857;3.3333333333333335
23;2019-12-25;0;0;0;0;1;2;1;0;0;0;4;4.714285714285714;3.3333333333333335
24;2019-12-26;0;0;0;2;0;2;0;0;0;0;4;4.571428571428571;4.0
25;2019-12-27;0;0;0;4;0;1;0;0;4;0;9;5.0;5.666666666666667
26;2019-12-28;0;0;0;8;0;1;0;0;4;0;13;5.714285714285714;8.666666666666666
27;2019-12-29;0;0;0;1;0;1;0;0;0;0;2;5.428571428571429;8.0
28;2019-12-30;0;0;0;4;0;3;0;0;1;0;8;6.285714285714286;7.666666666666667
29;2019-12-31;0;0;0;3;3;6;1;0;1;0;13;7.571428571428571;7.666666666666667
30;2020-01-01;0;0;0;4;0;8;0;0;0;0;11;8.571428571428571;10.666666666666666
31;2020-01-02;0;0;0;1;1;3;0;0;3;1;8;9.142857142857142;10.666666666666666
32;2020-01-03;0;0;0;5;0;4;1;0;2;0;12;9.571428571428571;10.333333333333334
33;2020-01-04;0;0;0;2;1;2;0;0;1;0;6;8.571428571428571;8.666666666666666
34;2020-01-05;0;0;0;2;0;0;1;0;1;0;4;8.857142857142858;7.333333333333333
35;2020-01-06;0;0;0;3;1;1;0;0;1;0;6;8.571428571428571;5.333333333333333
36;2020-01-07;0;0;0;4;0;5;0;0;0;1;10;8.142857142857142;6.666666666666667
37;2020-01-08;0;0;0;2;0;5;0;0;3;0;10;8.0;8.666666666666666
38;2020-01-09;0;0;0;1;1;1;0;0;1;0;4;7.428571428571429;8.0
39;2020-01-10;0;0;0;1;0;3;0;0;2;1;7;6.714285714285714;7.0
